dance_id,rhd_id,rd_conflicts,cast_size,cast_with_conflicts,conflicted_dancers,problematic_slot_count
dn_01,rd_01,,31,13,"d_007: Tu after 12:15pm,; d_018: Tues before 2; d_003: Tu; d_005: 12/20/25-12/27/25; d_008: Tu after 12:15pm, Sunday after 2:30,; d_011: Sunday before 1:00,; d_013: Wed after 2:00, 12/31/25; d_014: 12/21/25 -12/26/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_025: Tu after 12:15pm; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,; d_034: Dec 17 25- Dec 24 2025; d_036: Tu before 1:00, Tu after 4:00pm",3
dn_02,rd_02,,22,10,"d_007: Tu after 12:15pm,; d_018: Tues before 2; d_003: Tu; d_005: 12/20/25-12/27/25; d_013: Wed after 2:00, 12/31/25; d_014: 12/21/25 -12/26/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_025: Tu after 12:15pm; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,; d_036: Tu before 1:00, Tu after 4:00pm",3
dn_03,rd_03,sunday,8,2,d_018: Tues before 2; d_005: 12/20/25-12/27/25,3
dn_04,rd_03,sunday,6,3,"d_014: 12/21/25 -12/26/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_025: Tu after 12:15pm",3
dn_05,rd_03,sunday,22,7,"d_018: Tues before 2; d_005: 12/20/25-12/27/25; d_008: Tu after 12:15pm, Sunday after 2:30,; d_014: 12/21/25 -12/26/25; d_025: Tu after 12:15pm; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,; d_034: Dec 17 25- Dec 24 2025",3
dn_06,rd_04,,3,2,"d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_033: Wed after 4 pm",2
dn_07,rd_05,,8,4,"d_018: Tues before 2; d_003: Tu; d_011: Sunday before 1:00,; d_036: Tu before 1:00, Tu after 4:00pm",2
dn_08,rd_04,,7,2,"d_007: Tu after 12:15pm,; d_025: Tu after 12:15pm",1
dn_09,rd_04,,3,2,d_014: 12/21/25 -12/26/25; d_033: Wed after 4 pm,2
dn_10,rd_06,,5,1,"d_036: Tu before 1:00, Tu after 4:00pm",1
dn_11,rd_06,,8,4,"d_007: Tu after 12:15pm,; d_005: 12/20/25-12/27/25; d_011: Sunday before 1:00,; d_034: Dec 17 25- Dec 24 2025",3
dn_12,rd_06,,6,1,"d_008: Tu after 12:15pm, Sunday after 2:30,",2
dn_13,rd_06,,10,5,"d_003: Tu; d_013: Wed after 2:00, 12/31/25; d_014: 12/21/25 -12/26/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,",3
dn_14,rd_02,,6,2,"d_007: Tu after 12:15pm,; d_036: Tu before 1:00, Tu after 4:00pm",1
dn_15,rd_02,,4,2,d_014: 12/21/25 -12/26/25; d_034: Dec 17 25- Dec 24 2025,2
dn_16,rd_02,,4,1,"d_013: Wed after 2:00, 12/31/25",1
dn_17,rd_02,,6,3,"d_018: Tues before 2; d_008: Tu after 12:15pm, Sunday after 2:30,; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,",3
dn_18,rd_01,,5,3,"d_003: Tu; d_006: 12/20/25-12/27/25; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,",3
dn_19,rd_07,,6,3,"d_025: Tu after 12:15pm; d_033: Wed after 4 pm; d_036: Tu before 1:00, Tu after 4:00pm",2
dn_20,rd_07,,8,2,"d_008: Tu after 12:15pm, Sunday after 2:30,; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,",3
dn_21,rd_04,,7,3,"d_007: Tu after 12:15pm,; d_018: Tues before 2; d_034: Dec 17 25- Dec 24 2025",2
dn_22,rd_04,,2,1,d_033: Wed after 4 pm,1
dn_23,rd_08,,7,4,"d_008: Tu after 12:15pm, Sunday after 2:30,; d_013: Wed after 2:00, 12/31/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,; d_025: Tu after 12:15pm",3
dn_24,rd_08,,6,2,"d_007: Tu after 12:15pm,; d_018: Tues before 2",1
dn_25,rd_08,,13,5,"d_003: Tu; d_005: 12/20/25-12/27/25; d_011: Sunday before 1:00,; d_028: Tues  before 1:30, 12/23/25 - 12/24/25, 12/28/25,; d_036: Tu before 1:00, Tu after 4:00pm",3
dn_26,rd_08,,11,5,"d_018: Tues before 2; d_008: Tu after 12:15pm, Sunday after 2:30,; d_013: Wed after 2:00, 12/31/25; d_014: 12/21/25 -12/26/25; d_015: Tu after 12:15pm,Wednesday after 2:15, 12/23/25,",3
